cell_name	cell_id
786-0	0
A498	1
A549	2
ACHN	3
BT-549	4
CAKI-1	5
CCRF-CEM	6
COLO 205	7
DU-145	8
EKVX	9
HCC-2998	10
HCT116	11
HCT-15	12
HL-60(TB)	13
HOP-62	14
HOP-92	15
HS 578T	16
HT29	17
IGROV1	18
K-562	19
KM12	20
LOX IMVI	21
M14	22
MALME-3M	23
MCF7	24
MDA-MB-231	25
MDA-MB-435	26
MDA-MB-468	27
MOLT-4	28
NCI-H226	29
NCIH23	30
NCI-H322M	31
NCI-H460	32
NCI-H522	33
NCI-ADR-RES	34
OVCAR3	35
OVCAR-4	36
OVCAR-5	37
OVCAR-8	38
PC-3	39
RPMI-8226	40
RXF 393	41
SF-268	42
SF-295	43
SF-539	44
SK-MEL-2	45
SK-MEL-28	46
SK-MEL-5	47
SK-OV-3	48
SN12C	49
SNB-19	50
SNB-75	51
SR	52
SW-620	53
T-47D	54
TK-10	55
U251	56
UACC-257	57
UACC62	58
UO-31	59
